date,domain,total_comments
2014-08-23,aliexpress,687
2014-08-24,aliexpress,746
2014-08-25,aliexpress,913
2014-08-26,aliexpress,681
2014-08-27,aliexpress,873
2014-08-28,aliexpress,660
2014-08-29,aliexpress,712
2014-08-30,aliexpress,513
2014-08-31,aliexpress,752
2014-09-01,aliexpress,792
2014-09-02,aliexpress,652
2014-09-03,aliexpress,708
2014-09-04,aliexpress,794
2014-09-05,aliexpress,710
2014-09-06,aliexpress,755
2014-09-07,aliexpress,588
2014-09-08,aliexpress,671
2014-09-09,aliexpress,675
2014-09-10,aliexpress,743
2014-09-11,aliexpress,633
2014-09-12,aliexpress,672
2014-09-13,aliexpress,791
2014-09-14,aliexpress,709
2014-09-15,aliexpress,782
2014-09-16,aliexpress,825
2014-09-17,aliexpress,787
2014-09-18,aliexpress,705
2014-09-19,aliexpress,779
2014-09-20,aliexpress,787
2014-09-21,aliexpress,944
2014-09-22,aliexpress,763
2014-09-23,aliexpress,1074
2014-09-24,aliexpress,921
2014-09-25,aliexpress,978
2014-09-26,aliexpress,747
2014-09-27,aliexpress,632
2014-09-28,aliexpress,912
2014-09-29,aliexpress,119
2014-10-01,aliexpress,40
2014-10-03,aliexpress,39
2014-10-08,aliexpress,546
2014-10-09,aliexpress,516
2014-10-10,aliexpress,437
2014-10-11,aliexpress,594
2014-10-12,aliexpress,354
2014-10-13,aliexpress,356
2014-10-14,aliexpress,676
2014-10-15,aliexpress,557
2014-10-16,aliexpress,599
2014-10-17,aliexpress,280
2014-10-20,aliexpress,750
2014-10-21,aliexpress,671
2014-10-22,aliexpress,874
2014-10-23,aliexpress,675
2014-10-24,aliexpress,477
2014-10-25,aliexpress,199
2014-10-27,aliexpress,399
2014-10-28,aliexpress,434
2014-10-29,aliexpress,584
2014-10-30,aliexpress,239
2014-10-31,aliexpress,566
2014-10-31,ozon,21
2014-11-01,aliexpress,39
2014-11-02,aliexpress,40
2014-11-03,aliexpress,626
2014-11-04,aliexpress,673
2014-11-05,aliexpress,596
2014-11-06,aliexpress,679
2014-11-07,aliexpress,635
2014-11-08,aliexpress,359
2014-11-09,aliexpress,78
2014-11-10,aliexpress,517
2014-11-11,aliexpress,1298
2014-11-12,aliexpress,708
2014-11-13,aliexpress,318
2014-11-14,aliexpress,239
2014-11-15,aliexpress,200
2014-11-16,aliexpress,80
2014-11-17,aliexpress,120
2014-11-18,aliexpress,627
2014-11-19,aliexpress,591
2014-11-20,aliexpress,552
2014-11-21,aliexpress,543
2014-11-22,aliexpress,158
2014-11-23,aliexpress,274
2014-11-24,aliexpress,359
2014-11-25,aliexpress,501
2014-11-26,aliexpress,598
2014-11-27,aliexpress,477
2014-11-28,aliexpress,554
2014-11-29,aliexpress,239
2014-11-30,aliexpress,157
2014-12-01,aliexpress,718
2014-12-02,aliexpress,358
2014-12-03,aliexpress,237
2014-12-04,aliexpress,239
2014-12-05,aliexpress,280
2014-12-06,aliexpress,160
2014-12-07,aliexpress,159
2014-12-08,aliexpress,315
2014-12-09,aliexpress,553
2014-12-10,aliexpress,554
2014-12-11,aliexpress,388
2014-12-12,aliexpress,159
2014-12-13,aliexpress,280
2014-12-14,aliexpress,392
2014-12-15,aliexpress,530
2014-12-16,aliexpress,426
2014-12-17,aliexpress,238
2014-12-18,aliexpress,477
2014-12-19,aliexpress,308
2014-12-20,aliexpress,198
2014-12-21,aliexpress,155
2014-12-22,aliexpress,232
2014-12-23,aliexpress,431
2014-12-24,aliexpress,352
2014-12-25,aliexpress,93
2014-12-26,aliexpress,428
2014-12-27,aliexpress,236
2014-12-28,aliexpress,138
2014-12-29,aliexpress,280
2014-12-30,aliexpress,159
2014-12-31,aliexpress,562
2015-01-01,aliexpress,78
2015-01-04,aliexpress,199
2015-01-05,aliexpress,159
2015-01-06,aliexpress,79
2015-01-07,aliexpress,110
2015-01-08,aliexpress,198
2015-01-09,aliexpress,158
2015-01-10,aliexpress,120
2015-01-11,aliexpress,159
2015-01-12,aliexpress,40
2015-01-13,aliexpress,38
2015-01-14,aliexpress,80
2015-01-15,aliexpress,516
2015-01-16,aliexpress,439
2015-01-17,aliexpress,159
2015-01-18,aliexpress,158
2015-01-19,aliexpress,216
2015-01-20,aliexpress,159
2015-01-21,aliexpress,568
2015-01-22,aliexpress,358
2015-01-23,aliexpress,239
2015-01-24,aliexpress,176
2015-01-25,aliexpress,278
2015-01-26,aliexpress,383
2015-01-27,aliexpress,120
2015-01-28,aliexpress,276
2015-01-29,aliexpress,505
2015-01-30,aliexpress,636
2015-01-30,ozon,40
2015-01-31,aliexpress,317
2015-02-01,aliexpress,160
2015-02-02,aliexpress,438
2015-02-03,aliexpress,318
2015-02-04,aliexpress,432
2015-02-05,aliexpress,397
2015-02-06,aliexpress,313
2015-02-07,aliexpress,80
2015-02-08,aliexpress,80
2015-02-09,aliexpress,313
2015-02-10,aliexpress,317
2015-02-11,aliexpress,276
2015-02-12,aliexpress,450
2015-02-13,aliexpress,200
2015-02-14,aliexpress,149
2015-02-15,aliexpress,40
2015-02-16,aliexpress,298
2015-02-17,aliexpress,261
2015-02-18,aliexpress,278
2015-02-20,aliexpress,40
2015-02-21,aliexpress,119
2015-02-22,aliexpress,198
2015-02-23,aliexpress,80
2015-02-24,aliexpress,310
2015-02-25,aliexpress,239
2015-02-26,aliexpress,240
2015-02-27,aliexpress,343
2015-02-28,aliexpress,338
2015-03-02,aliexpress,394
2015-03-03,aliexpress,235
2015-03-04,aliexpress,362
2015-03-05,aliexpress,393
2015-03-06,aliexpress,493
2015-03-07,aliexpress,218
2015-03-08,aliexpress,64
2015-03-09,aliexpress,372
2015-03-10,aliexpress,276
2015-03-11,aliexpress,365
2015-03-12,aliexpress,423
2015-03-13,aliexpress,510
2015-03-14,aliexpress,302
2015-03-15,aliexpress,159
2015-03-16,aliexpress,394
2015-03-17,aliexpress,420
2015-03-18,aliexpress,564
2015-03-19,aliexpress,531
2015-03-20,aliexpress,469
2015-03-21,aliexpress,302
2015-03-22,aliexpress,156
2015-03-23,aliexpress,603
2015-03-24,aliexpress,511
2015-03-25,aliexpress,385
2015-03-26,aliexpress,639
2015-03-27,aliexpress,516
2015-03-28,aliexpress,227
2015-03-29,aliexpress,345
2015-03-30,aliexpress,794
2015-03-31,aliexpress,676
2015-04-01,aliexpress,631
2015-04-02,aliexpress,699
2015-04-03,aliexpress,596
2015-04-04,aliexpress,312
2015-04-05,aliexpress,278
2015-04-06,aliexpress,534
2015-04-07,aliexpress,653
2015-04-08,aliexpress,680
2015-04-09,aliexpress,591
2015-04-10,aliexpress,761
2015-04-11,aliexpress,358
2015-04-12,aliexpress,345
2015-04-13,aliexpress,585
